aid,attribute
804,WOS:000209928500014
805,WOS:000209928500349
806,WOS:000209928500686
807,WOS:000209928500893
808,WOS:000209928500916
809,WOS:000209928600538
810,WOS:000209928600681
811,WOS:000209931400167
812,WOS:000209931400295
813,WOS:000209931600207
814,WOS:000209931600255
815,WOS:000209933000013
816,WOS:000209951200036
817,WOS:000209956400002
818,WOS:000209956400006
819,WOS:000209979200017
820,WOS:000209982200012
821,WOS:000210718600008
822,WOS:000210718600010
823,WOS:000211139200002
824,WOS:000211149300004
825,WOS:000211508000066
826,WOS:000211508000084
827,WOS:000212402600010
828,WOS:000213990800002
829,WOS:000214649200001
830,WOS:000214661500006
831,WOS:000214661700010
832,WOS:000214662000004
833,WOS:000214890900005
834,WOS:000214894000012
835,WOS:000214895400008
836,WOS:000215799101080
837,WOS:000215799101412
838,WOS:000215799101429
839,WOS:000215799102261
840,WOS:000215799104105
841,WOS:000216591000009
842,WOS:000216594600002
843,WOS:000216594600012
844,WOS:000216596900025
845,WOS:000216599300020
846,WOS:000217607600001
847,WOS:000217976000005
848,WOS:000218318400009
849,WOS:000219922700002
850,WOS:000295062600005
851,WOS:000295445700010
852,WOS:000295662100031
853,WOS:000295753300010
854,WOS:000295814300016
855,WOS:000296000600017
856,WOS:000296003300037
857,WOS:000296003400013
858,WOS:000296037100018
859,WOS:000296113300005
860,WOS:000296265500009
861,WOS:000296401300037
862,WOS:000296402200011
863,WOS:000296750500008
864,WOS:000296941400024
865,WOS:000296941400040
866,WOS:000296989100006
867,WOS:000296994000027
868,WOS:000297004100007
869,WOS:000297068400002
870,WOS:000297176800002
871,WOS:000297213400006
872,WOS:000297238300005
873,WOS:000297402900007
874,WOS:000297404700005
875,WOS:000297438100007
876,WOS:000297439300008
877,WOS:000297485300017
878,WOS:000297490600018
879,WOS:000297587000002
880,WOS:000297637800002
881,WOS:000297637800005
882,WOS:000297647800258
883,WOS:000297663100001
884,WOS:000297663100002
885,WOS:000297663100005
886,WOS:000297722800033
887,WOS:000297731200002
888,WOS:000297754300061
889,WOS:000297787800001
890,WOS:000297787800004
891,WOS:000297792800001
892,WOS:000297815400005
893,WOS:000297833500009
894,WOS:000297839600016
895,WOS:000297873400027
896,WOS:000297883500052
897,WOS:000297885000002
898,WOS:000297909100004
899,WOS:000297915000004
900,WOS:000297930700003
901,WOS:000297930700004
902,WOS:000297930700020
903,WOS:000297930700025
904,WOS:000297932000001
905,WOS:000297934700011
906,WOS:000297934700020
907,WOS:000297934700046
908,WOS:000297946700019
909,WOS:000297947100006
910,WOS:000297949800018
911,WOS:000297950000008
912,WOS:000297956900003
913,WOS:000297956900011
914,WOS:000297982700004
915,WOS:000298006300036
916,WOS:000298013700003
917,WOS:000298014400008
918,WOS:000298015300009
919,WOS:000298020700010
920,WOS:000298020700011
921,WOS:000298020800002
922,WOS:000298038100008
923,WOS:000298051200015
924,WOS:000298058400008
925,WOS:000298060000002
926,WOS:000298060500014
927,WOS:000298070800015
928,WOS:000298070800020
929,WOS:000298070800024
930,WOS:000298089200007
931,WOS:000298092800003
932,WOS:000298101300001
933,WOS:000298101300008
934,WOS:000298123800007
935,WOS:000298129100027
936,WOS:000298144300001
937,WOS:000298145900036
938,WOS:000298148000010
939,WOS:000298148000116
940,WOS:000298149400007
941,WOS:000298149800005
942,WOS:000298150400005
943,WOS:000298152000004
944,WOS:000298152100019
945,WOS:000298155200010
946,WOS:000298171800038
947,WOS:000298171800053
948,WOS:000298179200019
949,WOS:000298180400014
950,WOS:000298190000011
951,WOS:000298190000019
952,WOS:000298192000018
953,WOS:000298192300003
954,WOS:000298203700011
955,WOS:000298210600047
956,WOS:000298210600072
957,WOS:000298210600087
958,WOS:000298212900009
959,WOS:000298226700015
960,WOS:000298228500018
961,WOS:000298274500017
962,WOS:000298280400009
963,WOS:000298285500007
964,WOS:000298288700007
965,WOS:000298289600003
966,WOS:000298289600038
967,WOS:000298289600047
968,WOS:000298290000001
969,WOS:000298291000014
970,WOS:000298292700002
971,WOS:000298300400024
972,WOS:000298301300024
973,WOS:000298303200010
974,WOS:000298303300045
975,WOS:000298325800054
976,WOS:000298336300005
977,WOS:000298336300014
978,WOS:000298338400003
979,WOS:000298340600014
980,WOS:000298347700016
981,WOS:000298350800010
982,WOS:000298351500002
983,WOS:000298351500003
984,WOS:000298351500005
985,WOS:000298355300008
986,WOS:000298362400005
987,WOS:000298368200007
988,WOS:000298368200009
989,WOS:000298370300001
990,WOS:000298370500011
991,WOS:000298374100022
992,WOS:000298376900002
993,WOS:000298379800065
994,WOS:000298379800088
995,WOS:000298380600036
996,WOS:000298383400032
997,WOS:000298383800024
998,WOS:000298383900043
999,WOS:000298383900048
1000,WOS:000298385800011
1001,WOS:000298385800015
1002,WOS:000298386500002
1003,WOS:000298386500011
1004,WOS:000298387500005
1005,WOS:000298395900005
1006,WOS:000298396400001
1007,WOS:000298396500018
1008,WOS:000298396700019
1009,WOS:000298402200011
1010,WOS:000298403700004
1011,WOS:000298403700014
1012,WOS:000298404900030
1013,WOS:000298404900033
1014,WOS:000298404900061
1015,WOS:000298406200006
1016,WOS:000298408300007
1017,WOS:000298408300061
1018,WOS:000298413500002
1019,WOS:000298417600015
1020,WOS:000298460600004
1021,WOS:000298477500009
1022,WOS:000298479000002
1023,WOS:000298479800003
1024,WOS:000298480800011
1025,WOS:000298481300057
1026,WOS:000298481300062
1027,WOS:000298481300063
1028,WOS:000298481300064
1029,WOS:000298481300074
1030,WOS:000298482300029
1031,WOS:000298482300037
1032,WOS:000298482300058
1033,WOS:000298484300003
1034,WOS:000298487700006
1035,WOS:000298511800012
1036,WOS:000298513600004
1037,WOS:000298521100013
1038,WOS:000298526100015
1039,WOS:000298526100032
1040,WOS:000298527300025
1041,WOS:000298528900004
1042,WOS:000298532200001
1043,WOS:000298532300014
1044,WOS:000298534200018
1045,WOS:000298547200008
1046,WOS:000298549100011
1047,WOS:000298552800055
1048,WOS:000298559500013
1049,WOS:000298563500006
1050,WOS:000298571800016
1051,WOS:000298574900017
1052,WOS:000298583700023
1053,WOS:000298583700026
1054,WOS:000298586200005
1055,WOS:000298586300032
1056,WOS:000298588900009
1057,WOS:000298591100011
1058,WOS:000298591100013
1059,WOS:000298593300002
1060,WOS:000298593800012
1061,WOS:000298596800009
1062,WOS:000298596800010
1063,WOS:000298597200005
1064,WOS:000298601300024
1065,WOS:000298601500013
1066,WOS:000298601600016
1067,WOS:000298608400006
1068,WOS:000298608400026
1069,WOS:000298622100005
1070,WOS:000298631400021
1071,WOS:000298634402011
1072,WOS:000298634402017
1073,WOS:000298634402075
1074,WOS:000298634402079
1075,WOS:000298634402135
1076,WOS:000298634402164
1077,WOS:000298634402222
1078,WOS:000298634402224
1079,WOS:000298634402280
1080,WOS:000298634402316
1081,WOS:000298634402335
1082,WOS:000298634402353
1083,WOS:000298634402375
1084,WOS:000298634402451
1085,WOS:000298634402473
1086,WOS:000298634402474
1087,WOS:000298634402513
1088,WOS:000298634402535
1089,WOS:000298634402545
1090,WOS:000298634402549
1091,WOS:000298634402554
1092,WOS:000298634800007
1093,WOS:000298636000015
1094,WOS:000298636000020
1095,WOS:000298637500079
1096,WOS:000298639200004
1097,WOS:000298639600004
1098,WOS:000298643300004
1099,WOS:000298643400001
1100,WOS:000298643400002
1101,WOS:000298644200013
1102,WOS:000298644600008
1103,WOS:000298644600011
1104,WOS:000298644800026
1105,WOS:000298646600010
1106,WOS:000298646700007
1107,WOS:000298646700018
1108,WOS:000298656200013
1109,WOS:000298656300002
1110,WOS:000298660000060
1111,WOS:000298661800035
1112,WOS:000298666000019
1113,WOS:000298666400001
1114,WOS:000298666400014
1115,WOS:000298666400070
1116,WOS:000298669500009
1117,WOS:000298671000042
1118,WOS:000298675000009
1119,WOS:000298676600001
1120,WOS:000298677400019
1121,WOS:000298682400008
1122,WOS:000298682400014
1123,WOS:000298682400026
1124,WOS:000298708800010
1125,WOS:000298712100008
1126,WOS:000298713200027
1127,WOS:000298715600001
1128,WOS:000298730200003
1129,WOS:000298733800004
1130,WOS:000298734800005
1131,WOS:000298736000023
1132,WOS:000298738300013
1133,WOS:000298740900004
1134,WOS:000298743800006
1135,WOS:000298743800008
1136,WOS:000298746900001
1137,WOS:000298749300024
1138,WOS:000298751300015
1139,WOS:000298751900027
1140,WOS:000298753700017
1141,WOS:000298755600014
1142,WOS:000298758900022
1143,WOS:000298763200031
1144,WOS:000298763200068
1145,WOS:000298763500035
1146,WOS:000298766900122
1147,WOS:000298772300003
1148,WOS:000298772900009
1149,WOS:000298774600007
1150,WOS:000298774600015
1151,WOS:000298778000009
