nid,aid
1468,16482
1469,281
1470,48783
1471,35161
1472,43163
1473,40711
1474,35161
1475,11393
1476,45594
1477,43163
1478,54531
1479,35161
1480,16482
1481,56977
1482,29190
1483,48783
1484,35161
1485,365
1486,35161
1487,23890
1488,43163
1489,16482
1490,35161
1491,48783
1492,43163
1493,17901
1494,35161
1495,48950
1496,7534
1497,43163
1498,35161
1499,17993
1500,32287
1501,43163
1502,17901
1503,35161
1504,17
1505,16482
1506,17
1507,17
1508,17
1509,48783
1510,43163
1511,17901
1512,17901
1513,45594
1514,45848
1515,45594
1516,32287
1517,17
1518,17
1519,54531
1520,32287
1521,17
1522,365
1523,43163
1524,45594
1525,43198
1526,7534
1527,32287
1528,11393
1529,7534
1530,16482
1531,48783
1532,17901
1533,45594
1534,32287
1535,40711
1536,45594
1537,48783
1538,7534
1539,40711
1540,48783
1541,35161
1542,7534
1543,48783
1544,14356
1545,57212
1546,35161
1547,35493
1548,17901
1549,35161
1550,17
1551,17
1552,45594
1553,17
1554,56977
1555,57212
1556,16482
1557,5140
1558,35161
1559,11393
1560,17
1561,17
1562,17
1563,54692
1564,48901
1565,48783
1566,11465
1567,18009
1568,24055
1569,11471
1570,60655
1571,20118
1572,11424
1573,24391
1574,63139
1575,48783
1576,48783
1577,11393
1578,5140
1579,35161
1580,20118
1581,54601
799,29302
1582,11465
1583,48901
1584,60624
1585,35161
1586,24112
1587,7534
1588,22914
1589,48783
1590,17901
1591,60624
1592,60670
1593,14356
1594,5140
1595,23890
1596,48783
1597,20118
1598,22903
1599,22903
1600,20118
1601,14356
1602,22903
1603,45594
1604,32403
1605,48783
1606,16482
1607,20138
1608,14356
1609,17
1610,35182
1611,11393
1612,183
1613,43242
1614,45594
1615,48783
1616,20118
1617,35161
1618,35405
1619,23890
1620,48783
1621,58334
1622,54531
1623,48783
1624,35182
1625,35161
1626,20118
1627,5140
1628,54531
1629,35161
1630,35161
1631,29190
1632,29190
1633,35161
1634,17901
1635,43163
1636,17901
1637,29190
1638,35161
1639,58324
1640,29190
1641,17
1642,23890
1643,35161
1644,40711
1645,17
1646,43198
1647,35161
1648,23890
1649,43163
1650,22903
1651,22903
1652,57212
1653,57212
1654,17901
1655,17
1656,17
1657,43163
1658,57212
1659,57212
1660,35161
1661,48783
1662,57212
1663,17
1664,17
1665,48783
1666,57212
1667,60624
1668,57212
1669,57212
1670,22903
1671,57212
1672,32287
1673,48783
1674,17
1674,2734
1675,62296
1676,17
1677,48783
1678,40711
1679,35161
1680,40711
1681,57212
1682,17
1683,11393
1684,17
1685,57212
1686,35161
1687,57212
1688,57212
1689,17901
1690,48783
1691,17
1692,57212
1693,14356
1694,17
1695,57212
1696,17901
1697,49007
1698,17
1699,17
1700,14356
1701,57212
1702,17
1703,57212
1704,42613
1705,48783
1706,57212
1707,22903
1708,22903
1709,48783
1710,57212
1711,17
1712,11393
1713,57212
1714,57212
1715,45594
1716,17
1717,32287
1718,48783
1719,40711
1720,17
1721,17
1722,43163
1723,35161
1724,11393
1725,35161
1726,23890
1727,14356
1728,35161
1729,40711
1730,5140
1731,124
1732,11393
1733,7534
1734,24259
1735,17
1736,35244
1737,43163
1738,48783
1739,24199
1740,17
1741,32287
1742,23890
1743,35574
1744,7534
1745,7534
1746,24075
1747,20118
1748,23890
993,23890
1749,23919
1750,22943
1751,48880
1752,23890
1753,35161
1754,17901
1755,23890
1756,17
1757,7534
1758,17
1759,23890
1760,45594
1761,16536
1762,398
1763,17
1764,22903
1765,45594
1766,11393
1767,14356
1768,17901
1769,35161
1770,43163
1771,167
1772,11393
1773,23890
1774,7534
1775,17901
1776,43163
1777,17
1778,17
1779,20118
1780,54531
1781,17901
1782,54531
1783,23927
1784,11393
1785,17
1786,17
1787,48783
1788,48783
1789,35161
1790,40711
1791,17
1792,23890
1793,58324
1794,17901
1795,35161
1796,11393
1797,29190
1798,11393
1799,35161
1800,16482
1801,45697
1802,48783
1803,45594
1804,23890
1805,35161
1806,43163
1807,7534
1808,23890
1809,5140
1810,17
1811,57212
1812,43163
1813,29190
1814,14356
1815,29190
1816,29190
1817,43163
1818,60610
1819,7534
1820,35161
1821,32287
1822,35161
1823,32287
1824,16482
1825,48783
1826,45594
1827,35161
1828,43163
1829,14356
1830,32287
1831,14488
1832,14356
1833,32287
1834,17
1835,35161
1836,35161
1837,11393
1838,17901
1839,32287
1840,17
1841,58324
1842,24312
1843,7534
1844,35161
1845,20118
1846,16482
1847,7534
1848,7534
1849,22903
1850,48783
1851,43163
1852,43163
1853,35161
1854,43163
1855,11393
1856,35161
1857,17
1858,17968
1859,24287
1860,20231
1861,58364
1862,58324
1863,29190
1864,58324
1865,29190
1866,45594
1867,45159
1868,20164
1869,48783
1870,11393
1871,56977
1872,16482
1873,11393
1874,54531
1875,16482
1876,32287
1877,35182
1878,5140
1879,40711
1880,17
1881,17901
1882,35161
1883,35161
1884,35161
1885,43163
1886,7534
1887,11393
1888,43163
1889,58324
1890,84
1891,43285
1892,40711
1893,16482
1894,7534
1895,43163
1896,16482
1897,16482
1898,32287
1899,16482
1900,35161
1901,16536
1902,35161
1903,32287
1904,205
1905,17
1906,5140
1907,35161
1908,32287
1909,17
1910,29190
1911,11393
1912,7534
1913,45594
1914,20138
1915,7534
1916,57212
1917,7534
1918,35416
1919,5140
1920,5225
1921,43163
1922,43163
1923,20118
1924,48783
1925,35161
1926,35161
1927,29241
1928,7534
1929,7704
1930,49010
349,58324
1931,60664
1932,45594
1933,48979
1934,43163
1935,60660
1936,60689
1937,60624
1938,29237
1939,7534
1940,56977
1941,58321
1942,60624
1943,29329
1944,60664
1945,45592
1946,11393
1947,14356
1948,59692
1949,24087
1950,60673
1951,35161
1952,5140
1953,40711
1954,17
1955,35527
1956,48783
1957,7534
1958,22903
1959,48783
1960,14356
1961,22903
1962,14413
1963,212
1964,17901
1965,29190
1966,48783
1967,11558
1968,5140
1969,20118
1970,35161
1971,22988
1972,54531
1973,5140
1974,48783
1975,20118
1976,236
1977,17901
1978,29190
1979,17
1980,35161
1981,45594
1982,56982
1983,35161
1984,35161
1985,5140
1986,35161
1987,42613
1988,48783
1989,40711
1990,20118
1991,14356
1992,29190
1993,16533
1994,35161
1995,43163
1996,24134
1997,14356
1998,11393
1999,20118
2000,45594
2001,35161
2002,18017
2003,20195
2004,48783
2005,11501
2006,29190
2007,17
2008,57242
2009,54531
2010,32287
