nid,aid
1346,70980
1347,72185
1348,42592
1349,1002
1350,7783
1351,14607
1352,48003
1353,63812
1354,68718
1355,70980
1356,71444
1357,5377
1358,7807
1359,13969
1360,21569
1361,15593
1362,36327
1363,39679
1364,52505
1365,53829
1366,66518
1367,68403
1368,70958
1369,242
1370,21569
1371,37708
1372,42592
1373,52628
1374,58770
1375,71634
1376,78369
1377,4570
1378,13969
1379,26932
1380,30665
1381,31090
1382,47784
1383,47835
1384,49929
1385,52628
1386,58665
1387,75252
1388,83966
1389,21297
1390,3422
1391,5043
1392,23406
1393,23715
1394,39442
1395,54631
1396,50812
1397,67314
1398,86181
1399,118
1400,5565
1401,11966
1402,14305
1403,15416
1404,16436
1405,17989
1406,18126
1407,24999
1408,35387
1409,47543
1410,47543
1411,48569
1412,56467
1413,58249
1414,61694
1415,70287
1416,72036
1417,72185
1418,81436
1419,86600
1420,7201
1421,9147
1422,10489
1423,12205
1424,12446
1425,13153
1426,13313
1427,16829
1428,17403
1429,23606
1430,23881
1431,24050
1432,30802
1433,48616
1434,49336
1435,51148
1436,55030
1437,56808
1438,60261
1439,62331
1440,66295
1441,72292
1442,78738
1443,1620
1444,14443
1445,61963
1446,79559
1447,5533
1448,15018
1449,25341
1450,26182
1451,26785
1452,51399
1453,79024
1454,7888
1455,60709
1456,23608
1457,54188
1458,78538
1459,27761
1460,48518
1461,53330
1462,59676
1463,64289
1464,87081
1465,11377
1466,13313
1467,17977
1468,23626
1469,35824
1470,51233
1471,51339
1472,58821
1473,4675
1474,7897
1475,8267
1476,12657
1477,14065
1478,20705
1479,26660
1480,27352
1481,27352
1482,38136
1483,43160
1484,48756
1485,51154
1486,59255
1487,59587
1488,66059
1489,72120
1490,78538
1491,80951
1492,86730
1493,86827
1494,26507
1495,63997
1496,64959
1497,82255
1498,7895
1499,8075
1500,23897
1501,43849
1502,48479
1503,51190
1504,54818
1505,65997
1506,67371
1507,68251
1508,73632
1509,76660
1510,4601
1511,4893
1512,10618
1513,13055
1514,17094
1515,18875
1516,25333
1517,28262
1518,41814
1519,46117
1520,49193
1521,51445
1522,70464
1523,73778
1524,77059
1525,81565
1526,81668
1527,5764
1528,18753
1529,23879
1530,51636
1531,56261
1532,57584
1533,58944
1534,72960
1535,2432
1536,3343
1537,3434
1538,8049
1539,12885
1540,12952
1541,16139
1542,48837
1543,49328
1544,51759
1545,52828
1546,54209
1547,56677
1548,57727
1549,59819
1550,61963
1551,66002
1552,67196
1553,73025
1554,76438
1555,12300
1556,16136
1557,28865
1558,48930
1559,52971
1560,59963
1561,69244
1562,85933
1563,39867
1564,54726
1565,13810
1566,39867
1567,39867
1568,39867
1569,41160
1570,56970
1571,59054
1572,73160
1573,39867
1574,39867
1575,73179
1576,14550
1577,31256
1578,34407
1579,37046
1580,39867
1581,39867
1582,53079
1583,59054
1584,65822
1585,14550
1586,39867
1587,59054
1588,59054
1589,59054
1590,67071
1591,14550
1592,14550
1593,42940
1594,44483
1595,44483
1596,44483
1597,70426
1598,85625
1599,30253
1600,13113
1601,18216
1602,33274
1603,46253
1604,82053
1605,12843
1606,81233
1607,67598
1608,12994
1609,53203
1610,64833
1611,42161
1612,6840
1613,11677
1614,20387
1615,64764
1616,72029
1617,975
1618,3871
1619,11685
1620,39453
1621,39473
1622,39685
1623,62911
1624,70791
1625,71478
1626,7875
1627,8979
1628,26201
1629,16067
1630,38925
1631,55068
1632,65979
1633,76000
1634,84854
1635,85870
1636,10704
1637,11356
1638,17028
1639,20529
1640,20737
1641,37842
1642,42186
