nid,aid
1424,12718
1424,25249
1425,12718
1425,25249
1426,12718
1427,12718
1427,25249
1428,12718
1429,12718
1430,12718
1430,25249
1431,12718
1431,25249
1432,12718
1432,25249
1433,12718
1434,12718
1435,12718
1435,25249
1435,3147
1436,12718
1436,25249
1437,12718
1438,12718
1439,12718
1439,25249
1440,12718
1440,25249
1441,12718
1441,25249
1442,12718
1442,25249
1443,12718
1443,25372
1444,12718
1444,25372
1445,12718
1445,25372
1446,12718
1446,25372
1447,12718
1448,12718
1449,12718
1449,25757
1450,12718
1450,25757
1451,12718
1452,12718
1453,12718
1453,25757
1454,12718
1455,12718
1456,12718
1457,12718
1458,12718
1458,25863
1459,12718
1459,3147
1460,12718
1460,26528
1461,12718
1462,12718
1463,12718
1464,12718
1464,26528
1465,12718
1466,12718
1466,25215
1467,12718
1467,26676
1467,3147
1468,12718
1468,25215
1469,12718
1469,26676
1470,12718
1470,25851
1470,3147
1471,12718
1472,12718
1472,3147
1473,12718
1473,3147
1474,12718
1475,12718
1475,26829
1476,12718
1476,26829
1477,12718
1478,12718
1479,12718
1479,26829
1480,12718
1480,26829
1481,12718
1481,26829
1482,12718
1482,27394
1483,12718
1484,12718
1484,26829
1485,12718
1485,26829
1486,12718
1487,12718
1487,26829
1488,12718
1488,26829
1489,12718
1489,26829
1490,12718
1490,26829
1491,12718
1491,26829
1492,12718
1492,26829
1493,12718
1493,26829
1494,12718
1494,26889
1495,12718
1495,26889
1496,12718
1496,26889
1497,12718
1497,26889
1498,12718
1498,26911
1499,12718
1500,12718
1500,26911
1501,12718
1501,26911
1502,12718
1502,26911
1503,12718
1504,12718
1504,26911
1505,12718
1505,26911
1506,12718
1507,12718
1507,26911
1508,12718
1508,26911
1509,12718
1509,26911
1510,12718
1511,12718
1512,12718
1512,21608
1513,12718
1514,12718
1514,21608
1514,3147
1515,12718
1516,12718
1516,21608
1517,12718
1518,12718
1519,12718
1520,12718
1520,27140
1521,12718
1521,26935
1522,12718
